key,title,screening_groups,selected,openreview_url
ICML:63135,Accurate Large-sample Uncertainty Quantification using Stochastic Gradient Markov Chain Monte Carlo,T2; T8,False,https://openreview.net/forum?id=Zkj9ctQdMM
ICML:63159,Stratified GRPO: Handling Structural Heterogeneity in Reinforcement Learning of LLM Search Agents,T5,False,https://openreview.net/forum?id=ZX2lOgKOTm
ICML:66429,"Single-Head Attention in High Dimensions: A Theory of Generalization, Weights Spectra, and Scaling Laws",T4,True,https://openreview.net/forum?id=3qan4Zg9rA
ICML:63304,Von Mises-Fisher Mixture Model with Dynamic Shrinkage for Realistic Test-Time Transduction,T7,False,https://openreview.net/forum?id=YHLkqytT2p
ICML:63376,From Prompts to Responses: Dual-Sided Data Leakage and Defense in Split Large Language Models,T1,False,https://openreview.net/forum?id=XgCyH9OZ5J
ICML:63463,Generalization and Scaling Laws for Mixture-of-ExpertsTransformers,T4,True,https://openreview.net/forum?id=WxmL5UjtNm
ICML:63606,Deriving Neural Scaling Laws from the Statistics of Natural Language,T4,True,https://openreview.net/forum?id=VXlniX0C5y
ICML:63659,A Random Matrix Theory of Masked Self-Supervised Learning,T6,False,https://openreview.net/forum?id=UuH4mmAGPJ
ICML:63661,"Transformers with RL or SFT Provably Learn Sparse Boolean Functions, But Differently",T6,False,https://openreview.net/forum?id=UrKNw5Xo9x
ICML:63678,Video-MTR: Reinforced Multi-Turn Reasoning for Long Video Understanding,T5,False,https://openreview.net/forum?id=UhPwL6LYOc
ICML:63696,Quantifying LLM Attention-Head Stability: Implications for Circuit Universality,T7,False,https://openreview.net/forum?id=UXzfLdXrBJ
ICML:63695,"GradientStabilizer: Fix the Norm, Not the Gradient",T1; T5; T7,True,https://openreview.net/forum?id=UZ8e5kivVf
ICML:63704,Learning Dynamics of Zeroth-Order Optimization: A Kernel Perspective,T6,True,https://openreview.net/forum?id=UTIylOfVUb
ICML:63794,Rethinking Neural Network Learning Rates: A Stackelberg Perspective,T1,True,https://openreview.net/forum?id=TgohCXoblV
ICML:63938,Finite-Width Neural Tangent Kernels from Feynman Diagrams,T3; T6,False,https://openreview.net/forum?id=SOlPHMdSY3
ICML:63969,TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models,T4,False,https://openreview.net/forum?id=S9G3yu6vHl
ICML:64066,Enhancing LLM Training via Spectral Clipping,T2,False,https://openreview.net/forum?id=RF1YUA8plS
ICML:64109,BubbleSpec: Turning Long-Tail Bubbles into Speculative Rollout Drafts for Synchronous Reinforcement Learning,T1,False,https://openreview.net/forum?id=QoJrOgCmC4
ICML:64176,Item Response Scaling Laws: A Measurement Theory Approach for Efficient and Generalizable Neural Scaling Estimation,T4,True,https://openreview.net/forum?id=QFgM1iNKmg
ICML:64180,Intrinsic Task Symmetry Drives Generalization in Algorithmic Tasks,T6,False,https://openreview.net/forum?id=QDVz3V4Vle
ICML:64272,Smaller Models are Natural Explorers for Policy-Level Diversity in GRPO,T1,False,https://openreview.net/forum?id=PI2xku6EDA
ICML:64278,Optimal Splitting of Language Models from Mixtures to Specialized Domains,T4,False,https://openreview.net/forum?id=PCJE2swkGn
ICML:64339,"More Edits, More Stable: Understanding the Lifelong Normalization in Sequential Model Editing",T1,False,https://openreview.net/forum?id=OcCpVIcgaY
ICML:64342,MetaDNS: Enhancing Exploration in Discrete Neural Samplers via Metadynamics,T6,False,https://openreview.net/forum?id=OY7Qe2ZSx9
ICML:64345,AudioMosaic: Contrastive Masked Audio Representation Learning,T2,False,https://openreview.net/forum?id=OXJ7KqVOoT
ICML:64403,Retriever Portfolios: A Principled Approach to Adaptive RAG,T7,False,https://openreview.net/forum?id=NyGHaciFrK
ICML:64450,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,T6,False,https://openreview.net/forum?id=NUyt4uxzx0
ICML:64613,Shrinking the Variance: Shrinkage Baselines for Reinforcement Learning with Verifiable Rewards,T5,False,https://openreview.net/forum?id=LffORETnav
ICML:64647,Parameter Decorrelation via Transition-Variance Alignment for Multivariate Time-series Forecasting,T1; T2,False,https://openreview.net/forum?id=LIQfBYvHei
ICML:64653,Focus and Dilution: The Multi-stage Learning Process of Attention,T6,False,https://openreview.net/forum?id=LF4YsCYfrf
ICML:64709,Motion-Aware Caching for Efficient Autoregressive Video Generation,T1,False,https://openreview.net/forum?id=KeH65ZD3a0
ICML:64788,Provably Data-driven Multiple Hyper-parameter Tuning with Structured Loss Function,T7,False,https://openreview.net/forum?id=JnuwpwbZ8D
ICML:64811,SpeedCP: Fast Kernel-based Conditional Conformal Prediction,T7,False,https://openreview.net/forum?id=JWvRxvcmn3
ICML:64813,Adaptive Momentum and Nonlinear Damping for Neural Network Training,T6; T8,True,https://openreview.net/forum?id=JWWpV4StVf
ICML:64845,Out-of-Distribution Evaluation of Rule-Based and Strategic Reasoning in Chess Transformers,T6,False,https://openreview.net/forum?id=JFGUsQ68rG
ICML:64885,Biased Generalization in Diffusion Models,T6,False,https://openreview.net/forum?id=IqTvyp40O6
ICML:64909,The Unlearnability Phenomenon in RLVR for Language Models,T6,False,https://openreview.net/forum?id=IiFFUPgSkV
ICML:64921,From Muon to Gluon: Bridging Theory and Practice of LMO-based Optimizers for LLMs,T1; T3,False,https://openreview.net/forum?id=IelAHU5MVz
ICML:64950,Understanding Private Learning From Feature Perspective,T6,False,https://openreview.net/forum?id=IP6W8i7XPG
ICML:64955,TeamTR: Trust-Region Fine-Tuning for Multi-Agent LLM Coordination,T5,False,https://openreview.net/forum?id=IMwLhg52ZY
ICML:63286,Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems,T6,False,https://openreview.net/forum?id=YNoQhMrps4
ICML:65195,RGMem: Renormalization Group–inspired Memory Evolution for Language Agents,T6,False,https://openreview.net/forum?id=FtvNZxhW9W
ICML:65217,Outcome-Aware Spectral Feature Learning for Instrumental Variable Regression,T6,False,https://openreview.net/forum?id=FiCxlfjkhc
ICML:65256,Beyond Structural Symmetries: Linear Mode Connectivity via Neuron Identifiability,T6,False,https://openreview.net/forum?id=FJLz8swPpd
ICML:65296,Quantifying and Optimizing Simplicity via Polynomial Representations,T5,False,https://openreview.net/forum?id=F0F03HOYb8
ICML:65408,Practical and Scalable Hamiltonian Monte Carlo Without the Metropolis Test,T1,False,https://openreview.net/forum?id=DxvZnTVNfP
ICML:65452,Reinforced Sequential Monte Carlo for Amortised Sampling,T5,False,https://openreview.net/forum?id=DWaToCuNwa
ICML:65478,Capacity-Aware Mixture Law Enables Efficient LLM Data Optimization,T4,False,https://openreview.net/forum?id=DDtL4VOUcT
ICML:65494,Can Microcanonical Langevin Dynamics Leverage Mini-Batch Gradient Noise?,T1; T2,False,https://openreview.net/forum?id=D2evvc90tF
ICML:65592,How Can Mamba Learn In Context with Outliers and Generalize Provably?,T6,False,https://openreview.net/forum?id=C41aLahRXZ
ICML:64587,Rate or Fate? RLV$^{\varepsilon}$R: Reinforcement Learning with Verifiable Noisy Rewards,T6,False,https://openreview.net/forum?id=LwB2EacVT6
ICML:65678,Nash Equilibria in Games with Playerwise Concave Coupling Constraints: Existence and Computation,T1; T6,False,https://openreview.net/forum?id=BGmc3O41ZH
ICML:65707,Harmonized Dual Policy Improvement for Modelic Reinforcement Learning,T5,False,https://openreview.net/forum?id=Az6TOqyAGM
ICML:65734,"Transformers Provably Learn Algorithmic Solutions for Graph Connectivity, But Only with the Right Data",T6,False,https://openreview.net/forum?id=AhRuQzYHzY
ICML:65738,Unifying Heterogeneous Multi-Modal Remote Sensing Detection Via Language-Pivoted Pretraining,T1,False,https://openreview.net/forum?id=Afb6Yo2rIf
ICML:65745,Towards Steering without Sacrifice: Principled Training of Steering Vectors for Prompt-only Interventions,T1,False,https://openreview.net/forum?id=AaT3liS5PE
ICML:65760,Context-level Language Modeling by Learning Predictive Context Embeddings,T4,False,https://openreview.net/forum?id=ARA2xneUDG
ICML:65812,Coverage ≠ Exposure: Auditable Control of Same-Support Tail Failures under Multimodal Missingness,T7,False,https://openreview.net/forum?id=9wGh0vAm9Q
ICML:62273,Deep Reinforcement Learning Finds Bayes-Nash Equilibrium in Competitive Newsvendor Problems,T6,False,https://openreview.net/forum?id=i5xbcviYhP
ICML:65980,WF-Bench: A Benchmark for Neural-Network WaveFunction Expressivity and Scaling Laws,T4,False,https://openreview.net/forum?id=8Fhq7QpYfI
ICML:66140,Training Prompt Matters: State-Adaptive Optimization for Robust Fine-Tuning,T6,False,https://openreview.net/forum?id=6XXz4OPAXA
ICML:66240,What Preferences Can—and Cannot—Predict in Multi-Agent Online Learning,T6,False,https://openreview.net/forum?id=5W30WwL8wt
ICML:63800,SALAAD: Sparse And Low-Rank Adaptation via ADMM for Large Language Model Inference,T6,False,https://openreview.net/forum?id=TbUbv5zqTF
ICML:66269,Emergence of Biased Consensus in Multi-Agent LLM Debates,T6,False,https://openreview.net/forum?id=5EtByXq4bX
ICML:66276,Grokking Finite-Dimensional Algebra,T6,True,https://openreview.net/forum?id=5Cvh976L09
ICML:66282,Equilibrium Propagation for Non-Conservative Systems,T6,False,https://openreview.net/forum?id=5785emCgS1
ICML:66325,Segment-Aligned Policy Optimization for Multi-Modal Reasoning,T5,False,https://openreview.net/forum?id=4fbvifBi9q
ICML:63845,The Implicit Bias of Depth: From Neural Collapse to Softmax Codes,T6,True,https://openreview.net/forum?id=TDaVoBfTjY
ICML:63896,Breaking the Block: Preserving Data Continuity to Train Superior SAEs for Instruct Models,T2,False,https://openreview.net/forum?id=SjNCl7f2e3
ICML:64011,SPEED-Bench: A Unified and Diverse Benchmark for Speculative Decoding,T2,False,https://openreview.net/forum?id=Rl2uQlCoQX
ICML:66104,LIVEditor-14B: Lightning Unified Video Editing via In-Context Sparse Attention,T5,False,https://openreview.net/forum?id=70u0Cbdkd5
ICML:63497,FlashOptim: Memory Efficient Optimizers for Large-Scale Training,T8,False,https://openreview.net/forum?id=Wfe1iJocjF
ICML:64166,Forward-KL Convergence of Time-Inhomogeneous Langevin Diffusions,T1,False,https://openreview.net/forum?id=QJYHWz4x7H
ICML:64280,Convergence Analysis of Decentralized Hessian-/Jacobian-Free Algorithm for Nonconvex Stochastic Bilevel Optimization,T1,False,https://openreview.net/forum?id=PAtGX7I6xh
ICML:64579,All ERMs Can Fail in Stochastic Convex Optimization Lower Bounds in Linear Dimension,T1,False,https://openreview.net/forum?id=Lzwp2KXedc
ICML:61002,Decoupling Regularization and Privacy in Differentially Private Ridge Regression and ERM,T2,False,https://openreview.net/forum?id=ueWWbqp0rc
ICML:64806,Non-Stationary Online Structured Prediction with Surrogate Losses,T1,False,https://openreview.net/forum?id=JchIXIrN4i
ICML:60981,Learning Rate Annealing Improves Tuning Robustness in Stochastic Optimization,T1,True,https://openreview.net/forum?id=usZLsN3Dnv
ICML:61062,What Do Agents Learn from Trajectory-SFT: Semantics or Interfaces?,T6,False,https://openreview.net/forum?id=u1i3XoSXQG
ICML:65065,Predicting Large Model Test Losses with a Noisy Quadratic System,T2,False,https://openreview.net/forum?id=H5wTMVlukn
ICML:65086,When Does Adaptation Win? Scaling Laws for Meta-Learning in Quantum Control,T4,False,https://openreview.net/forum?id=Gu9pw3D6vT
ICML:65146,The Geometric Origin of Grokking: Accelerating Generalization via Active Structural Reorganization,T6,True,https://openreview.net/forum?id=GMdvtJz5Ez
ICML:65393,ViSurf: Visual Supervised-and-Reinforcement Fine-Tuning for Large Vision-and-Language Models,T5,False,https://openreview.net/forum?id=E88ye5tTF8
ICML:63790,Causal Feature Learning via Generalized Rayleigh Quotients,T6,False,https://openreview.net/forum?id=TkiLthQncx
ICML:65570,Preconditioning Neural Tangent Kernel for Adaptive Optimization,T6,True,https://openreview.net/forum?id=CKzW9g2x3g
ICML:65837,SpanNorm: Reconciling Training Stability and Performance in Deep Transformers,T5; T7,True,https://openreview.net/forum?id=9bLiqb6Vec
ICML:60709,Scaling Beyond Masked Diffusion Language Models,T4,False,https://openreview.net/forum?id=xKJG1CNtQM
ICML:66203,Divide and Contrast: Learning Robust Temporal Features without Augmentation,T2,False,https://openreview.net/forum?id=5ooFLqHTo4
ICML:65827,Analytic Bijections for Smooth and Interpretable Normalizing Flows,T5,False,https://openreview.net/forum?id=9kkrASoSbp
ICML:62156,Stability and Generalization of Nonconvex Optimization with Heavy-Tailed Noise,T2,False,https://openreview.net/forum?id=jHUEoBLQpn
ICML:66370,Alignment-Sensitive Minimax Rates for Spectral Algorithms with Learned Kernels,T6,False,https://openreview.net/forum?id=4HrWo5x7YF
ICML:66390,SlaClip: Gradient Norm Slacks can be Indicator for Adaptive Clipping in DP-SGD,T7,False,https://openreview.net/forum?id=48suUeYKdb
ICML:66539,Why Deep Jacobian Spectra Separate: Depth-Induced Scaling and Singular-Vector Alignment,T6,False,https://openreview.net/forum?id=2kSBDoP1rE
ICML:66644,Correctness-Optimized Residual Activation Lens (CORAL): Transferrable and Calibration-Aware Inference-Time Steering,T7,False,https://openreview.net/forum?id=1piRnQJhLc
ICML:66722,Broadening the Backdoor Basin: Understanding LLM Backdoors Collapse and Making Backdoors Persistent,T5,False,https://openreview.net/forum?id=109ocBrytN
ICML:65851,Differentiable Optimization Layers for Guaranteed Fairness in Deep Learning,T2,False,https://openreview.net/forum?id=9SLQACsSbw
ICML:60861,Convergence of Steepest Descent and Adam under Non-Uniform Smoothness,T1,False,https://openreview.net/forum?id=vwTTp11PTD
ICML:60938,Learning Rate Scaling across LoRA Ranks and Transfer to Full Finetuning,T1; T3; T6,True,https://openreview.net/forum?id=vCAIwEJZQ6
ICML:65011,Self-Supervised Flow Matching for Scalable Multi-Modal Synthesis,T4,False,https://openreview.net/forum?id=HoThWhfxiK
ICML:65205,Dropout Universality: Scaling Laws and Optimal Scheduling at the Edge-of-Chaos,T4; T5; T7,True,https://openreview.net/forum?id=FoDU47u2jk
ICML:60882,What Linear Probes Miss: Multi-View Probing for Weight-Space Learning,T4,False,https://openreview.net/forum?id=vfqrmuVULL
ICML:64750,Multimodal Fusion via Self-Consistent Task-Gradient Fields,T6,False,https://openreview.net/forum?id=KDJf0EyawI
ICML:64682,Flatness-Aware Stochastic Gradient Langevin Dynamics,T2,False,https://openreview.net/forum?id=Kw0nhxeTeI
ICML:62204,Sharp Inequalities between Total Variation and Hellinger Distances for Gaussian Mixtures,T5,False,https://openreview.net/forum?id=ihMB4kA2SQ
ICML:62955,Scalable GANs with Transformers,T1,False,https://openreview.net/forum?id=bTfHzEx9Xk
ICML:62131,Singularity-aware Optimization via Randomized Geometric Probing: Towards Stable Non-smooth Optimization,T1; T8,False,https://openreview.net/forum?id=jYf7VrKL6x
ICML:64483,Periodic Bayesian Flow Networks with Additive Accuracy,T5,False,https://openreview.net/forum?id=N7hieduZYV
ICML:63537,Linguistic Properties and Model Scale in Brain Encoding: From Small to Compressed Language Models,T4,False,https://openreview.net/forum?id=WK1NvxRMsL
ICML:60611,Visual Para-Thinker: Divide-and-Conquer Reasoning for Visual Comprehension,T4,False,https://openreview.net/forum?id=yUOnI5IAuT
ICML:62102,Explaining Data Mixing Scaling Laws,T4,True,https://openreview.net/forum?id=joReaAnwnH
ICML:62979,High-Dimensional Learning Dynamics of Quantized Models with Straight-Through Estimator,T6,True,https://openreview.net/forum?id=bI9moH3UZw
ICML:60975,Heavy-tailed Physics-Informed Neural Networks,T6,False,https://openreview.net/forum?id=uvB4kU3jTd
ICML:62975,TGPO: Efficient Policy Optimization through Sequence Anchor and Information Gating,T6,False,https://openreview.net/forum?id=bJ9JtQWpoE
ICML:66520,FocalPolicy: Frequency-Optimized Chunking and Locally Anchored Flow Matching for Coherent Visuomotor Policy,T7,False,https://openreview.net/forum?id=2zMJ5cLziN
ICML:64226,On Training Large Language Models for Long-Horizon Tasks: An Empirical Study of Horizon Length,T6,False,https://openreview.net/forum?id=PnHfrCMKtp
ICML:63705,Toward Understanding Adversarial Distillation: Why Robust Teachers Fail,T6,False,https://openreview.net/forum?id=USejwpvj0a
ICML:61326,A Capacity-Based Rationale for Multi-Head Attention,T6,False,https://openreview.net/forum?id=rIbK1X14la
ICML:61855,Momentum Further Constrains Sharpness at the Edge of Stochastic Stability,T2; T5; T8,True,https://openreview.net/forum?id=mL4i6z7Miy
ICML:64601,Random Scaling of Emergent Capabilities,T4,False,https://openreview.net/forum?id=Lp8gwhhUfU
ICML:66043,When Does Sparsity Mitigate the Curse of Depth in LLMs,T3; T7,True,https://openreview.net/forum?id=7boy4Ipbyn
ICML:60561,Mitigating the Contractivity Trap in Diffusion ODEs via Stein Stabilization,T1,False,https://openreview.net/forum?id=z0CHTAHame
ICML:63769,BioDynaSpec: Harmonic-Guided Spatio-Spectral Autoregressive Diffusion for Protein Dynamics Generation,T1,False,https://openreview.net/forum?id=TwMRZPkn4e
ICML:63917,The Cost of Information: Phase Transitions in Contextual Bandits with Paid Observations,T6,False,https://openreview.net/forum?id=Sa2QGNFxWy
ICML:64695,Probing RLVR Training Instability through the Lens of Objective-Level Hacking,T6,False,https://openreview.net/forum?id=KlGj06E8Wa
ICML:71144,On the Difficulty of Learning a Meta-network for Training Data Selection,T2; T6,False,https://openreview.net/forum?id=RzgNmKi5Hw
ICML:64477,SURGE: Surrogate Gradient Adaptation in Binary Neural Networks,T5,False,https://openreview.net/forum?id=NAkeQ3C4tn
ICML:62892,Adaptive Utilization of Low-Rank Adaptation via Conditioned Gating,T5,False,https://openreview.net/forum?id=cA7SvKStDh
ICML:61776,Softsign: Smooth Sign in Your Optimizer For Better Parameter Heterogeneity Handling,T8,False,https://openreview.net/forum?id=n47bK7WM3U
ICML:65262,From Optimization to Generalization under Heavy-Tailed Data: The Role of Gradient Clipping,T1; T2,True,https://openreview.net/forum?id=FGHVEJ2Jz9
ICML:64047,Reasoning Compartmentalization: Bridging the Concretization Gap via Abstraction-based Routing,T6,False,https://openreview.net/forum?id=ROjScDyMtq
ICML:64067,Large-scale Uncertainty Quantification for Latent Variable Models Using Subsampling Markov Chain Monte Carlo,T7,False,https://openreview.net/forum?id=REezhltCeh
ICML:63496,GeoEvo: Identity-Aware Potential Game with Geometric Evolution for Personalized Multimodal Federated Learning,T1,False,https://openreview.net/forum?id=WfxJlvbHpD
ICML:66073,"ExPLAIND: Unifying Model, Data, and Training Attribution to Study Model Behavior",T6,False,https://openreview.net/forum?id=7G6x9QTaN4
ICML:60639,Faster Query-Key Learning Sharpens Attention in Self-Attention Models,T1,False,https://openreview.net/forum?id=yESGs2JgSu
